timestamp,angle,distance,quality
2026-06-24T10:00:00.000,10,2.00,70
2026-06-24T10:00:00.001,11,2.05,72
2026-06-24T10:00:00.002,12,2.10,74
2026-06-24T10:00:00.003,13,2.08,73
2026-06-24T10:00:00.004,14,2.02,71
2026-06-24T10:00:00.005,15,2.00,70
2026-06-24T10:00:00.006,100,5.00,68
2026-06-24T10:00:00.007,101,5.05,70
2026-06-24T10:00:00.008,102,5.10,72
2026-06-24T10:00:00.009,103,5.08,71
2026-06-24T10:00:00.010,104,5.03,69
2026-06-24T10:00:00.011,105,5.00,68
2026-06-24T10:00:00.012,220,3.00,75
2026-06-24T10:00:00.013,221,3.05,76
2026-06-24T10:00:00.014,222,3.10,77
2026-06-24T10:00:00.015,223,3.08,76
2026-06-24T10:00:00.016,224,3.02,75
2026-06-24T10:00:00.017,225,3.00,74
2026-06-24T10:00:00.018,300,6.00,65
2026-06-24T10:00:00.019,301,6.05,66
2026-06-24T10:00:00.020,302,6.10,67
2026-06-24T10:00:00.021,303,6.08,66
2026-06-24T10:00:00.022,304,6.03,65
2026-06-24T10:00:00.023,305,6.00,64
2026-06-24T10:00:00.024,30,8.00,60
2026-06-24T10:00:00.025,60,7.50,62
2026-06-24T10:00:00.026,150,8.20,58
2026-06-24T10:00:00.027,180,7.80,61
2026-06-24T10:00:00.028,270,8.50,59
2026-06-24T10:00:00.029,330,7.90,60
